outcome,model_pair,delta_AUC,delong_p_value,lr_p_value,n
dm,BMI vs BMI+Fat%,3.8604663845220877e-4,0.5777964177915527,0.022723302634502618,3059
dm,BMI vs BMI+VF,0.014835528345725546,1.8956377204474512e-6,0,3059
dm,BMI vs BMI+WHtR,0.010586145087520649,7.412055229948969e-6,1.1102230246251565e-16,3059
preDM,BMI vs BMI+Fat%,-1.4781915577133375e-5,0.9753645550407812,0.10931230279367199,4611
preDM,BMI vs BMI+VF,0.006703598714200676,0.0028227737542447415,2.220446049250313e-16,4611
preDM,BMI vs BMI+WHtR,0.003927441261784237,0.05523427101582694,8.534617457200966e-12,4611
