"","sex","race_eth","dm","estimate","CI_lower","CI_upper","variable","value"
"49","WOMEN","Asian","DM",529.682070820756,426.578293909226,632.785847732286,"Visceral fat mass"," 529.7 (426.6, 632.8)"
"50","WOMEN","Asian","NoDM",309.762048985211,288.157225556854,331.366872413569,"Visceral fat mass"," 309.8 (288.2, 331.4)"
"51","WOMEN","Asian","PreDM",367.069047625323,325.352101535411,408.785993715235,"Visceral fat mass"," 367.1 (325.4, 408.8)"
"52","WOMEN","Hispanic","DM",704.934964599452,658.612151509698,751.257777689205,"Visceral fat mass"," 704.9 (658.6, 751.3)"
"53","WOMEN","Hispanic","NoDM",447.942584175691,419.836787176734,476.048381174648,"Visceral fat mass"," 447.9 (419.8, 476.0)"
"54","WOMEN","Hispanic","PreDM",564.548414768237,527.228304743642,601.868524792832,"Visceral fat mass"," 564.5 (527.2, 601.9)"
"55","WOMEN","NHBlack","DM",560.712197985966,514.531317216703,606.893078755228,"Visceral fat mass"," 560.7 (514.5, 606.9)"
"56","WOMEN","NHBlack","NoDM",349.65883755141,324.182615117373,375.135059985446,"Visceral fat mass"," 349.7 (324.2, 375.1)"
"57","WOMEN","NHBlack","PreDM",436.844654701924,406.622187098407,467.067122305441,"Visceral fat mass"," 436.8 (406.6, 467.1)"
"58","WOMEN","NHWhite","DM",805.061827451187,719.613461330812,890.510193571562,"Visceral fat mass"," 805.1 (719.6, 890.5)"
"59","WOMEN","NHWhite","NoDM",360.157343903058,337.121280077435,383.193407728681,"Visceral fat mass"," 360.2 (337.1, 383.2)"
"60","WOMEN","NHWhite","PreDM",546.770418193826,506.68033928904,586.860497098612,"Visceral fat mass"," 546.8 (506.7, 586.9)"
"61","MEN","Asian","DM",548.264524869319,501.416945809626,595.112103929012,"Visceral fat mass"," 548.3 (501.4, 595.1)"
"62","MEN","Asian","NoDM",415.164491904154,391.008124131472,439.320859676835,"Visceral fat mass"," 415.2 (391.0, 439.3)"
"63","MEN","Asian","PreDM",445.885888782568,424.379013328604,467.392764236532,"Visceral fat mass"," 445.9 (424.4, 467.4)"
"64","MEN","Hispanic","DM",663.460135649909,608.067279230694,718.852992069125,"Visceral fat mass"," 663.5 (608.1, 718.9)"
"65","MEN","Hispanic","NoDM",489.33691708326,460.673256700292,518.000577466229,"Visceral fat mass"," 489.3 (460.7, 518.0)"
"66","MEN","Hispanic","PreDM",559.236452758718,535.330575589909,583.142329927527,"Visceral fat mass"," 559.2 (535.3, 583.1)"
"67","MEN","NHBlack","DM",577.247396709267,490.92080670079,663.573986717744,"Visceral fat mass"," 577.2 (490.9, 663.6)"
"68","MEN","NHBlack","NoDM",332.730691420483,317.912302524813,347.549080316152,"Visceral fat mass"," 332.7 (317.9, 347.5)"
"69","MEN","NHBlack","PreDM",392.291987361758,369.777819108427,414.806155615088,"Visceral fat mass"," 392.3 (369.8, 414.8)"
"70","MEN","NHWhite","DM",764.024990361104,705.857798538624,822.192182183583,"Visceral fat mass"," 764.0 (705.9, 822.2)"
"71","MEN","NHWhite","NoDM",456.778343284106,437.005343651304,476.551342916907,"Visceral fat mass"," 456.8 (437.0, 476.6)"
"72","MEN","NHWhite","PreDM",548.401205879493,521.851499882001,574.950911876986,"Visceral fat mass"," 548.4 (521.9, 575.0)"
"73","WOMEN","Asian","DM",1715.90452015078,1424.3867603705,2007.42227993107,"Subcutaneous fat mass","1715.9 (1424.4, 2007.4)"
"74","WOMEN","Asian","NoDM",1302.30728620721,1230.14261214915,1374.47196026527,"Subcutaneous fat mass","1302.3 (1230.1, 1374.5)"
"75","WOMEN","Asian","PreDM",1558.72714923117,1453.01239307158,1664.44190539075,"Subcutaneous fat mass","1558.7 (1453.0, 1664.4)"
"76","WOMEN","Hispanic","DM",2330.0900964862,2185.27522648246,2474.90496648994,"Subcutaneous fat mass","2330.1 (2185.3, 2474.9)"
"77","WOMEN","Hispanic","NoDM",1847.14061109784,1750.96121454749,1943.32000764819,"Subcutaneous fat mass","1847.1 (1751.0, 1943.3)"
"78","WOMEN","Hispanic","PreDM",2055.10894119498,1968.46292599306,2141.7549563969,"Subcutaneous fat mass","2055.1 (1968.5, 2141.8)"
"79","WOMEN","NHBlack","DM",2635.56470482775,2489.40256661881,2781.72684303669,"Subcutaneous fat mass","2635.6 (2489.4, 2781.7)"
"80","WOMEN","NHBlack","NoDM",1892.57880423905,1782.73889010546,2002.41871837264,"Subcutaneous fat mass","1892.6 (1782.7, 2002.4)"
"81","WOMEN","NHBlack","PreDM",2330.21301543289,2205.61856646718,2454.8074643986,"Subcutaneous fat mass","2330.2 (2205.6, 2454.8)"
"82","WOMEN","NHWhite","DM",2509.42757299225,2293.3644344593,2725.49071152521,"Subcutaneous fat mass","2509.4 (2293.4, 2725.5)"
"83","WOMEN","NHWhite","NoDM",1653.3479878847,1576.22860014992,1730.46737561949,"Subcutaneous fat mass","1653.3 (1576.2, 1730.5)"
"84","WOMEN","NHWhite","PreDM",2117.77457562007,2008.83823382535,2226.7109174148,"Subcutaneous fat mass","2117.8 (2008.8, 2226.7)"
"85","MEN","Asian","DM",1195.48053466248,1077.05886103052,1313.90220829445,"Subcutaneous fat mass","1195.5 (1077.1, 1313.9)"
"86","MEN","Asian","NoDM",918.140827203566,832.378271533414,1003.90338287372,"Subcutaneous fat mass"," 918.1 (832.4, 1003.9)"
"87","MEN","Asian","PreDM",1105.51869525791,1037.29413076904,1173.74325974678,"Subcutaneous fat mass","1105.5 (1037.3, 1173.7)"
"88","MEN","Hispanic","DM",1625.76954949048,1476.27770139773,1775.26139758323,"Subcutaneous fat mass","1625.8 (1476.3, 1775.3)"
"89","MEN","Hispanic","NoDM",1250.87804595104,1147.27569618253,1354.48039571956,"Subcutaneous fat mass","1250.9 (1147.3, 1354.5)"
"90","MEN","Hispanic","PreDM",1434.85856409379,1356.47627700409,1513.24085118348,"Subcutaneous fat mass","1434.9 (1356.5, 1513.2)"
"91","MEN","NHBlack","DM",1752.38591931224,1549.04703767469,1955.72480094979,"Subcutaneous fat mass","1752.4 (1549.0, 1955.7)"
"92","MEN","NHBlack","NoDM",877.650890331778,774.633539377254,980.668241286302,"Subcutaneous fat mass"," 877.7 (774.6, 980.7)"
"93","MEN","NHBlack","PreDM",1231.64268935808,1110.5509546868,1352.73442402937,"Subcutaneous fat mass","1231.6 (1110.6, 1352.7)"
"94","MEN","NHWhite","DM",1809.51250528137,1640.97329486355,1978.05171569918,"Subcutaneous fat mass","1809.5 (1641.0, 1978.1)"
"95","MEN","NHWhite","NoDM",1125.0879806067,1060.29508166206,1189.88087955135,"Subcutaneous fat mass","1125.1 (1060.3, 1189.9)"
"96","MEN","NHWhite","PreDM",1409.60321038841,1341.80085541417,1477.40556536266,"Subcutaneous fat mass","1409.6 (1341.8, 1477.4)"
"97","WOMEN","Asian","DM",93.3899721095751,86.3785583558857,100.401385863264,"Waist circumference","  93.4 (86.4, 100.4)"
"98","WOMEN","Asian","NoDM",80.311285882511,79.0067109347508,81.6158608302712,"Waist circumference","  80.3 (79.0, 81.6)"
"99","WOMEN","Asian","PreDM",86.1730962265928,83.8766403176487,88.4695521355369,"Waist circumference","  86.2 (83.9, 88.5)"
"100","WOMEN","Hispanic","DM",105.781608297587,102.704693203857,108.858523391316,"Waist circumference"," 105.8 (102.7, 108.9)"
"101","WOMEN","Hispanic","NoDM",92.602075012942,90.4782265595623,94.7259234663216,"Waist circumference","  92.6 (90.5, 94.7)"
"102","WOMEN","Hispanic","PreDM",97.0111605891582,95.0350185662297,98.9873026120867,"Waist circumference","  97.0 (95.0, 99.0)"
"103","WOMEN","NHBlack","DM",112.396538874398,109.342232486075,115.45084526272,"Waist circumference"," 112.4 (109.3, 115.5)"
"104","WOMEN","NHBlack","NoDM",93.5877690213661,91.61982217734,95.5557158653921,"Waist circumference","  93.6 (91.6, 95.6)"
"105","WOMEN","NHBlack","PreDM",103.503077486774,100.850183766456,106.155971207092,"Waist circumference"," 103.5 (100.9, 106.2)"
"106","WOMEN","NHWhite","DM",113.384341135362,109.000857459339,117.767824811385,"Waist circumference"," 113.4 (109.0, 117.8)"
"107","WOMEN","NHWhite","NoDM",89.5423361105515,88.0669146585737,91.0177575625294,"Waist circumference","  89.5 (88.1, 91.0)"
"108","WOMEN","NHWhite","PreDM",100.257497137923,98.0714002725683,102.443594003277,"Waist circumference"," 100.3 (98.1, 102.4)"
"109","MEN","Asian","DM",94.6980233696324,91.8263684770011,97.5696782622636,"Waist circumference","  94.7 (91.8, 97.6)"
"110","MEN","Asian","NoDM",87.2695732271004,85.3874116011282,89.1517348530726,"Waist circumference","  87.3 (85.4, 89.2)"
"111","MEN","Asian","PreDM",91.3537466366688,89.9447796796315,92.7627135937061,"Waist circumference","  91.4 (89.9, 92.8)"
"112","MEN","Hispanic","DM",105.683212273307,102.38078073129,108.985643815325,"Waist circumference"," 105.7 (102.4, 109.0)"
"113","MEN","Hispanic","NoDM",96.265942829094,94.1969126836221,98.3349729745659,"Waist circumference","  96.3 (94.2, 98.3)"
"114","MEN","Hispanic","PreDM",100.401849886143,98.916436544141,101.887263228145,"Waist circumference"," 100.4 (98.9, 101.9)"
"115","MEN","NHBlack","DM",108.664558856004,104.006937774427,113.32217993758,"Waist circumference"," 108.7 (104.0, 113.3)"
"116","MEN","NHBlack","NoDM",88.6507519871195,86.5219056566118,90.7795983176271,"Waist circumference","  88.7 (86.5, 90.8)"
"117","MEN","NHBlack","PreDM",96.7156016099098,94.2326479013063,99.1985553185134,"Waist circumference","  96.7 (94.2, 99.2)"
"118","MEN","NHWhite","DM",112.844384882893,109.034920491714,116.653849274073,"Waist circumference"," 112.8 (109.0, 116.7)"
"119","MEN","NHWhite","NoDM",94.9229818802102,93.5755296931552,96.2704340672652,"Waist circumference","  94.9 (93.6, 96.3)"
"120","MEN","NHWhite","PreDM",101.034106585562,99.5590515322221,102.509161638902,"Waist circumference"," 101.0 (99.6, 102.5)"
"121","WOMEN","Asian","DM",0.594555638170864,0.552829161891894,0.636282114449833,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"122","WOMEN","Asian","NoDM",0.509288693681093,0.499720835667551,0.518856551694634,"Waist-to-Height ratio","   0.5 (0.5, 0.5)"
"123","WOMEN","Asian","PreDM",0.548886570703166,0.533231170105524,0.564541971300809,"Waist-to-Height ratio","   0.5 (0.5, 0.6)"
"124","WOMEN","Hispanic","DM",0.673985143759348,0.655565154805968,0.692405132712728,"Waist-to-Height ratio","   0.7 (0.7, 0.7)"
"125","WOMEN","Hispanic","NoDM",0.58070623785238,0.568395095933939,0.59301737977082,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
